,year,fire_impact_score,burned_acres,total_data_days,avg_pm25,med_pm25,peak_pm25,moderate_smoke_days,extreme_smoke_days,pm25_90th_percentile,consecutive_high_pm25_days,composite_smoke_impact,weighted_smoke_day_count,unemployment_rate
0,1999,5.63,179196.75,63,12.267724867724866,10.750000000000002,28.233333333333324,0,0,21.120000000000005,0,1.4254273504273511,27,3.48
1,2000,14.57,712057.21,61,10.962568306010926,9.966666666666669,27.099999999999994,0,0,17.73333333333334,0,0.8903133903133902,22,3.78
2,2001,3.89,194140.39,62,10.577688172043013,9.700000000000003,25.966666666666658,0,0,17.8525,0,0.8055555555555556,19,4.27
3,2002,9.24,488418.3,61,12.425273224043718,11.366666666666669,39.82499999999999,1,0,20.933333333333337,0,1.4758671652421653,27,5.08
4,2003,6.07,212752.7,65,10.437564102564101,9.8,24.76666666666667,0,0,17.86,0,0.7221509971509972,19,5.55
5,2004,6.81,116404.02,68,8.976348039215686,8.283333333333333,26.266666666666655,0,0,13.433333333333339,0,0.3637464387464388,13,5.51
6,2005,19.12,396796.99,62,12.030645161290325,10.266666666666666,33.900000000000006,0,0,22.574999999999996,0,1.427777777777778,23,5.07
7,2006,38.37,1782340.36,60,9.389305555555556,8.1375,21.599999999999998,0,0,15.660000000000002,0,0.5396723646723646,16,4.43
8,2007,8.93,180215.78,61,10.271311475409835,8.700000000000003,30.800000000000008,0,0,19.500000000000004,0,0.8901709401709405,14,4.23
9,2008,11.19,559878.15,61,8.486065574,6.850000000000002,18.150000000000002,0,0,14.450000000000001,0,0.2747863247863249,12,4.61
10,2009,22.47,660844.55,62,8.091129032258065,7.199999999999999,20.050000000000004,0,0,13.180000000000001,0,0.2384615384615387,9,6.89
11,2010,13.67,227892.85,61,7.209836066,6.700000000000001,17.300000000000004,0,0,10.299999999999999,0,0.10213675213675222,3,6.93
12,2011,50.98,2677397.66,61,8.027049180327868,7.299999999999998,20.699999999999996,0,0,13.749999999999995,0,0.24230769230769225,9,6.38
13,2012,24.97,985194.85,61,7.553278689,7.000000000000003,14.799999999999997,0,0,11.250000000000002,0,0.023931624,1,5.72
14,2013,4.92,117782.21,62,7.654032258064516,7.325000000000001,20.550000000000004,0,0,11.890000000000004,0,0.1521367521367522,5,5.30
15,2014,13.15,221685.21,59,7.522033898305085,7.149999999999999,15.149999999999999,0,0,13.22,0,0.11837606837606833,7,4.51
16,2015,13.39,214063.96,61,7.3508196721311485,6.650000000000002,16.550000000000004,0,0,13.149999999999999,0,0.15042735042735034,9,4.15
17,2016,27.47,1220200.07,125,5.974903616679739,5.200000000000002,17.8,0,0,9.898643776,0,0.14011484509245298,8,4.02
18,2017,26.95,1586569.94,168,5.652695752684407,5.508071666666667,14.717156882352938,0,0,9.106313155555556,0,0.068436496,5,3.62
19,2018,25.76,1235771.94,124,7.944206545488087,6.354398166666666,30.90694444444445,0,0,15.937500000000002,0,1.0664773400927325,20,3.36
20,2019,3.37,49067.38,118,6.163249868,5.703472222222223,15.799999999999999,0,0,10.4311111,0,0.085383732,6,3.16
21,2020,18.07,763706.34,182,8.424345388824626,7.0270015263157894,42.11064811111112,1,0,14.297996378947369,0,1.4037977383403315,31,5.82